ID,State,Type,Address,Price,Bedroom,Bathroom,Parking
438352800,NSW,Apartment,"5/58 Buckingham Street, Surry Hills",$825pw,1 bedroom,1 bathroom,
438352784,NSW,House,"10B Kooringal Avenue, Griffith",$400 per week,2 bedrooms,1 bathroom,1 parking space
438352780,NSW,Townhouse,"1/40 Anthony Road, Denistone",$1250 per week,4 bedrooms,2 bathrooms,1 parking space
438352768,NSW,Apartment,"916/17 wentworth place, Wentworth Point",$880 | Fully furniture,2 bedrooms,2 bathrooms,1 parking space
438352752,NSW,House,"32A Bruhn Circuit, Kellyville",$490.00,2 bedrooms,1 bathroom,
438352748,NSW,Apartment,"C207/48-56 Derby Street, Kingswood",$500 per week,2 bedrooms,1 bathroom,1 parking space
438352744,NSW,Duplex/Semi-detached,"6 Coral Sea Drive, West Nowra",$500 per week,3 bedrooms,1 bathroom,1 parking space
438352740,NSW,Flat,"38/51-53 King Street, St Marys",$490 per week,2 bedrooms,2 bathrooms,1 parking space
438352724,NSW,Apartment,"5/14 Adelaide Street, West Ryde",$550 per week,2 bedrooms,1 bathroom,1 parking space
438352696,NSW,Duplex/Semi-detached,"5 Ferry Street, Kogarah",$950 Per Week,3 bedrooms,2 bathrooms,1 parking space
438352688,NSW,House,"404 Ocean Drive, West Haven",$580.00 Per Week,3 bedrooms,2 bathrooms,3 parking spaces
438352684,NSW,House,"219 Elara Boulevard, Marsden Park","$1,000 Per Week",5 bedrooms,2 bathrooms,2 parking spaces
438352680,NSW,Unit,"6/50 Burlington Road, Homebush",$575 per week,2 bedrooms,1 bathroom,1 parking space
438352672,NSW,Duplex/Semi-detached,"1/7 Wall Close, Charlestown",$500,2 bedrooms,1 bathroom,1 parking space
438352656,NSW,Unit,"10/235 Targo Road, Toongabbie",$550 per week,2 bedrooms,1 bathroom,1 parking space
438352644,NSW,Unit,"2/99 Hopewood Crescent, Fairy Meadow",$375 per week,1 bedroom,1 bathroom,
438352632,NSW,Apartment,"4/69 Beaconsfield Street, Newport",$610 pw,1 bedroom,1 bathroom,1 parking space
438352624,NSW,Apartment,"212/9A Terry Rd, Rouse Hill",$650 per week,2 bedrooms,study,2 bathrooms
438352620,NSW,Unit,"2/3A Lake Street, Lake Albert",$400 per week,2 bedrooms,1 bathroom,1 parking space
438352612,NSW,House,"5796 Mitchell Highway, Molong",$580 per week,4 bedrooms,2 bathrooms,2 parking spaces
438352596,NSW,House,"5 Linda Street, Hill Top",$570 pw,3 bedrooms,1 bathroom,1 parking space
438352592,NSW,Terrace,"10 Hebe Terrace, Glenfield",$690 Per Week,3 bedrooms,2 bathrooms,1 parking space
438352588,NSW,Apartment,"11/115 Station Street, Penrith",$400 per week,2 bedrooms,1 bathroom,1 parking space
438352568,NSW,House,"54 Telopea Street, Redfern",$1250 per week,2 bedrooms,1 bathroom,
438352556,NSW,Apartment,"29/145 McEvoy Street, Alexandria","$1,500 Per Week",3 bedrooms,2 bathrooms,1 parking space
438352540,NSW,House,"68 Grassbird Avenue, Oran Park",$400 wk,1 bedroom,1 bathroom,
438352536,NSW,House,"2/55 Nancy Street, North Bondi","$1,950 per week",3 bedrooms,2 bathrooms,1 parking space
438352516,NSW,House,"41 54-66 Hutton Road, The Entrance North",$420 Per Week,2 bedrooms,1 bathroom,
438352508,NSW,Apartment,"1-9 William Street, Alexandria",$960 Per Week,2 bedrooms,2 bathrooms,1 parking space
438352468,NSW,Unit,"65/30-44 Railway Terrace, Merrylands",$570 Per Week,2 bedrooms,2 bathrooms,1 parking space
438352456,NSW,House,"1 Malcolm Street, Blacktown",$720 per week,4 bedrooms,1 bathroom,1 parking space
438352436,NSW,Apartment,"416/104 Caddies Blvd, Rouse Hill",$620 per week,1 bedroom,1 bathroom,1 parking space
438352424,NSW,Apartment,"2/28 Sorrell Street, North Parramatta",$540,2 bedrooms,1 bathroom,1 parking space
438352416,NSW,Apartment,"2/173-175  Pennant Hills Road, Carlingford",$750 pw,3 bedrooms,2 bathrooms,2 parking spaces
438352384,NSW,House,"5A Delaney Drive, Doonside",$425 per week,2 bedrooms,1 bathroom,1 parking space
438352352,NSW,Apartment,"20/548 Pennant Hills Road, West Pennant Hills",$650 per week,2 bedrooms,2 bathrooms,2 parking spaces
438352348,NSW,House,"12 Meale Avenue, Gledswood Hills",$900 pw,4 bedrooms,2 bathrooms,2 parking spaces
438352308,NSW,Flat,"244A Henry Lawson Drive, Georges Hall",$600 per week,2 bedrooms,1 bathroom,2 parking spaces
