Nama,Lokasi,Kontak,Parkir,Kategori,URL Tenant
BURGER KING,1F-83,02130493067,3 near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=06a6eede60
By Aura,UG-58,,3 near LOBBY LIFT B,Entertainment,https://lippomallpuri.com/tenantDetail?tenant=606df94777
C&F PERFUMERY,G-67,02129111034,BASEMENT near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=e20aea1ed1
CARAMELLO,LG-22B,Visit Tenant Official Website,LG near LOBBY PAXI / FOOD GARDEN,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=24dea4a240
CASIO,UG-82,02180633782,3 near LOBBY LIFT C,Watches & Optics,https://lippomallpuri.com/tenantDetail?tenant=ee10d606cc
CELL SCIENCE,2F-09,02180633765,3 near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=2db7ebddbc
CENTURY HEALTHCARE,LG-69,02129111076,BASEMENT near LOBBY SAMSAT,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=2260ded0bb
CETAK PHOTO,B-09,,BASEMENT near LOBBY TEKO,Services,https://lippomallpuri.com/tenantDetail?tenant=22a226f60e
CHARLES & KEITH,G-71,02122582819,BASEMENT near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=5e2050dc5e
Charles Jourdan,UG-K-05,,3 near Lift C,Watches & Optics,https://lippomallpuri.com/tenantDetail?tenant=ecc37c06ec
CHATIME & GINDACO,LG-79,Visit Tenant Official Website,LG near LOBBY TAKESHITA,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=8c62686fc5
CHOCOCHIPS,1F-28,02130493091,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=250aae6a22
CIMB NIAGA DIGITAL LOUNGE,G-12,Visit Tenant Official Website,BASEMENT near LOBBY LIFT C,Services,https://lippomallpuri.com/tenantDetail?tenant=66e66f6233
Cindy,1F-21,,3 near Lobby Lift B,"Books Gifts, Hobbies",https://lippomallpuri.com/tenantDetail?tenant=b43a39e4b3
CINEMA XXI,1F-08,02129111370,2 / P3 near LOBBY LIFT C,Entertainment,https://lippomallpuri.com/tenantDetail?tenant=d2f2e6dde6
Cinnabon,G-109,081258788852,3 near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=b6d6fd3663
CK EDUCATION,B-07 & 08,,B near Lobby Lift C,Children Related,https://lippomallpuri.com/tenantDetail?tenant=2cac4c2022
CLARKS,UG-22,Visit Tenant Official Website,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=2e296067ee
COCO TIME,LG-K05B,,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=f226869969
COCONUT ISLAND,1F-91,02122582896,2 / P3 near LOBBY LIFT C,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=c676e6eea0
COLD STONE CREAMERY,LG-K12,02122582894,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=869c96f12c
Colorbox,1F-79,,3 near Lobby Lift B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=f93935c5f3
CONVERSE,UG-62,02122582795,3 near LOBBY LIFT B,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=e9bb96298e
COTTON ON,UG-31,02122582853,3 near LOBBY LIFT A,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=717a211727
DAIRY QUEEN,LG-K11,02122582751,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=2ee8dbfa2f
DAPUR SOLO,1F-101,Visit Tenant Official Website,2 / P3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=b01140321b
DAYTRANS,G-26AO,,BASEMENT near LOBBY LIFT B,Tour & Travel,https://lippomallpuri.com/tenantDetail?tenant=6e24424eee
DCREPES,LG-IA11,,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=66f63cc65b
Dhype,1F-50,,3 near Lobby Lift B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=ccc36983cc
DJOURNAL COFFEE,G-01A,Visit Tenant Official Website,BASEMENT near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=f28cd69c94
DONBURI ICHIYA,LG-80,02129111006,BASEMENT near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=9414630401
DORAYAKI ADDICT!,LG-K02,02129111239,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=681a806a01
DPARIS,UG-K09E,Visit Tenant Official Website,3 near LOBBY LIFT B,Jewellery,https://lippomallpuri.com/tenantDetail?tenant=07660c07b7
DRAGON HOT POT,1F-53,02180600246,3 near LOBBY LIFT A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=2dd21bbd62
DRESS UP & PERLA,LG-22J,,LG near LOBBY PAXI / FOOD GARDEN,Services,https://lippomallpuri.com/tenantDetail?tenant=8033165535
Dyson,G-AT-01Ag,,3 near Lift C,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=c57a7acac5
Early Learning Centre,UG-K-01A,,3 near Lobby Lift B,Children Related,https://lippomallpuri.com/tenantDetail?tenant=0e0e664406
EDOKKO,2F-72,Visit Tenant Official Website,3 near LOBBY LIFT C,Children Related,https://lippomallpuri.com/tenantDetail?tenant=e226d6e260
ELECTRONIC CITY,LG-101,02129111291,LG near LOBBY TAXI / FOOD GARDEN,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=b800b20e81
Element Family Fun,LG-152,,B near B,Children Related,https://lippomallpuri.com/tenantDetail?tenant=3368364338
ERAFONE,1F-71,02129111137,3 near LOBBY LIFT B,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=2bb595ebee
ERAPLUS,1F-85,Visit Tenant Official Website,2 / P3 near LOBBY LIFT C,Services,https://lippomallpuri.com/tenantDetail?tenant=07dedfd36d
ERHA APOTHECARY,LG-67,02129111039,BASEMENT near LOBBY SAMSAT,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=de1006000c
ERIC KAYSER,G-93,02122582723,BASEMENT near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=5ddd6dd50a
Etcetera,UG-72,,3 near Lobby Lift B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=bbef888f8b
Everbest,G-00,,B near Lobby Lift B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=5eea3ea53a
EWAN PAO,LG-K08A,Visit Tenant Official Website,BASEMENT near LOBBY SAMSAT,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=2236ede020
Fami Cafe,1F-IA,,Basement near Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=84688fd848
FAMOUS AMOS,LG-K09C,Visit Tenant Official Website,BASEMENT near LOBBY SAMSAT,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=d507ff6f6d
FAVOR PARTY SUPPLIES,LG-121,08113402783,LG near LOBBY TAKESHITA,"Books Gifts, Hobbies",https://lippomallpuri.com/tenantDetail?tenant=969e2222ee
FIRST LOVE,1F-K-03,Visit Tenant Official Website,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=9d006d09dd
